performance_id,paper_id,model_id,primary_task,has_cnn_baseline,metric_name,metric_value,baseline_model,baseline_value,performance_gain,additional_metrics,multi_resolution_testing,additional_results,primary_task_clean,performance_gain_numeric,metric_value_numeric
26,26,26,Canopy Height Estimation,Yes,RMSE|r,"Hy-TeC: 3.12m RMSE vs GEDI, 7.9m RMSE vs ALS (r=0.25), 3.1m RMSE vs VHR-HM (r=0.56)","2MOU (U-Net), Lang et al. 2022, Potapov et al. 2021",2MOU: 4.3m RMSE vs GEDI. Lang: 8.6m RMSE vs ALS. Potapov: 10.0m RMSE vs ALS,+1.18m improvement over 2MOU baseline. +0.7m improvement over Lang. +2.1m improvement over Potapov,RMSPE: 17.4% (Hy-TeC vs GEDI)|Bias: 2.8m for RH98 > 40m (Hy-TeC)|LCS: 13.8 (Hy-TeC)|SDSD: 17.0 (Hy-TeC),"Model tested on downsampled S2 images. GSI (Ground Sampling Index) analysis shows Hy-TeC maintains resolution closest to native 10m: 80% of patches have GSI < 1.08 (equivalent to 10-15m), compared to α-2MDU where only 58% achieve this. Hy-TeC shows better ground sampling distance and sensitivity to fine details.",Hy-TeC shows superior performance in challenging scenarios: (1) Better detection of isolated trees in savannas. (2) Accurate height estimation in urban areas with proper building masking (unlike α-2MDU which requires post-processing). (3) No saturation effect for trees >35m unlike global products. (4) Can detect and estimate heights of very small trees missed by 30m Potapov and 10m Lang products.,Height Estimation,1.18,3.12
27,27,27,Deforestation Mapping,Yes,DS|JI|ACC,"DS: 0.588, JI: 0.476, ACC: 0.744",U-Net,"DS: 0.583, JI: 0.466, ACC: 0.715","+0.005 DS (+0.9%), +0.010 JI (+2.1%), +0.029 ACC (+4.1%)",Precision: 0.561 (Prithvi)|Recall: 0.720 (Prithvi)|ΔArea accuracy: 59.9% (Prithvi) vs 59.4% (U-Net),,"Authors report forest area change tracking accuracy (ΔArea): Prithvi-100M correctly identified direction of forest area change in 59.9% of consecutive time point pairs across test AOIs. Models tend to over-report deforestation (negative ΔArea values in Table II), which authors consider acceptable as it provides 'conservative' detection less likely to miss deforestation activities. Visual analysis (Fig. 3) shows Prithvi-100M substantially reduces false positive detections compared to TransUNet architectures.",Deforestation Mapping,0.5,58.8
28,28,28,Individual Tree Detection/Counting,Yes,F1-score|Precision|Recall|Coverage,"ForestFormer3D: 82.8% F1, 92.4% Prec, 75.0% Rec, 81.2% Cov","OneFormer3D (transformer baseline), ForAINetV2_R16 (CNN-based), TreeLearn","OneFormer3D: 73.1% F1, 72.0% Prec, 74.3% Rec, 80.0% Cov; ForAINetV2_R16: 70.8% F1, 88.1% Prec, 59.2% Rec, 72.7% Cov","+9.7 pp F1 over OneFormer3D (second-best transformer), +1.2 pp Coverage over OneFormer3D, +12.0 pp F1 over ForAINetV2_R16","mIoU for semantic segmentation: 86.2% (ForestFormer3D) vs 87.5% (ForAINetV2_R16, best)|On Wytham woods: 75.0% F1 (+8.2 pp over second-best)|On LAUTx: 90.5% F1 (second to TreeLearn's 92.1% which is optimized for ground-based LiDAR)","Tested across different point densities (10, 25, 50, 75, 100, 500, 1000, and original density pts/m²). Performance degrades significantly when density falls below 100 pts/m². At 100 pts/m²: ~75% F1, ~80% Cov. At 50 pts/m²: ~70% F1, ~78% Cov. At 25 pts/m²: ~67% F1, ~79% Cov. Multi-density augmentation training improves performance on sparse inputs (<100 pts/m²) but degrades performance on dense inputs","Achieves state-of-the-art on FOR-instanceV2 benchmark across 9 diverse regions. Particularly strong improvements in challenging environments: NIBIO2 (multi-scale trees): 90.4% F1 (+17.6 pp over ForAINet, +8.2 pp over OneFormer3D); RMIT (sparse points): 82.2% F1 (+6.8 pp over second-best); TUWIEN (dense interwoven crowns): 76.7% F1 (+27.4 pp improvement over second-best). Demonstrates robust cross-sensor generalization (ULS, TLS, MLS data)",Tree Detection,9.7,82.8
29,29,29,Individual Tree Detection/Counting,No,AP^bb (Average Precision bounding box)|AP^seg (Average Precision segmentation)|AR^bb (Average Recall bounding box)|AR^seg (Average Recall segmentation),"FT-Test with SAM pseudo-labels (burned on CANATREE100): 57.9 AP^bb_50:95, 81.8 AP^bb_50, 53.1 AP^seg_50:95, 80.7 AP^seg_50",,,Training on SAM pseudo-labels vs burn-in pseudo-labels: +3.3 AP^bb_50:95 and +7.7 AP^seg_50:95 (burned on CANATREE100 tested on FT-Test); +1.6 AP^bb_50:95 and +3.5 AP^seg_50:95 (burned on FLICKRTREE100 tested on FT-Test),AR^bb_50:95: 66.8|AR^bb_50: 88.4|AR^seg_50:95: 61.6|AR^seg_50: 87.1,,"SAM pseudo-labels show better scaling with dataset size: when using 100% vs 1% of data, improvement of 2.5 AP^bb_50:95 and 2.7 AP^seg_50:95 for SAM pseudo-labels, compared to only 1.3 AP^bb_50 and 1.1 AP^seg_50 for burn-in pseudo-labels. SAM can 'effectively disentangle' overlapping trees that were 'pseudo-labeled as a single one' and segment trees 'with unconventional shapes qualitatively better'.",Tree Detection,3.3,81.8
30,30,30,Deforestation Mapping,Yes,Overall Accuracy|F1-score|Precision|Recall,"3-band Amazon: 91.96% OA, 91.48% F1, 88.29% Precision, 95.88% Recall; 4-band Amazon: 97.2% OA, 97.18% F1, 97.51% Precision, 96.9% Recall; 4-band Atlantic: 93.97% OA, 90.57% F1, 87.76% Precision, 93.96% Recall",TransU-Net,"3-band Amazon: 88.61% OA, 91.48% F1, 82.98% Precision, 95.78% Recall; 4-band Amazon: 94.11% OA, 93.89% F1, 89.87% Precision, 99.48% Recall; 4-band Atlantic: 90.25% OA, 85.58% F1, 88.67% Precision, 79.1% Recall","3-band Amazon: +3.35% OA, +5.31% Precision; 4-band Amazon: +3.09% OA, +3.29% F1, +7.64% Precision; 4-band Atlantic: +3.72% OA, +4.99% F1, +14.86% Recall","Deforestation area (hectare)|Area under ROC Curve (AUC): 3-band Amazon: 0.921, 4-band Amazon: 0.972, 4-band Atlantic: 0.94",,"TransU-Net++ achieved highest AUC values across all study areas compared to 11 other segmentation models including ICNet (0.667), ENet (0.69), SegNet (0.788), U-Net (0.871), Attention U-Net-2 (0.886), R2U-Net (0.888), TransU-Net (0.889), Swin U-Net (0.893), ResU-Net (0.896), U-Net+++ (0.9), and Attention U-Net (0.908) in 3-band Amazon dataset",Deforestation Mapping,3.0,97.2
31,31,31,Tree Species Classification,Yes,AP|mAP50,"30.7 AP, 41 mAP50",Mask2Former,"20.2 AP, 34.8 mAP50","+10.5 AP, +6.2 mAP50",mAP75: 35.4|mAPS: 14.6|mAPM: 25.6|mAPL: 31.5|Parameters: 56.79M|GFLOPs: 66.94,,Model achieves significant improvements in detecting small to medium-sized objects: outperformed BoxSnack by 1.36% and Mask R-CNN by 5.5% for small objects; achieved 4.3% improvement over CondInst and 12% improvement over Mask2Former for medium-sized objects; surpassed SOLOv2 by 2% and Conditional-DETR by 7% for large object detection.,Species Classification,10.5,30.7
32,32,32,Tree Health Assessment,Yes,F1-score|IoU|Precision|Recall,"SegFormer-RGB: 0.70 F1-score, 0.54 IoU, 0.62 Precision, 0.80 Recall",U-Net and DeepLabv3+ (both with ResNet101 backbone),"U-Net: 0.46 F1-score, 0.30 IoU; DeepLabv3+: 0.65 F1-score, 0.48 IoU (for RGB band combination)",+24 percentage points F1-score over U-Net; +5 percentage points F1-score over DeepLabv3+ (+8% relative improvement); +24 percentage points IoU improvement over U-Net,"Overall Accuracy: 0.98|CIR band: 0.65 F1-score, 0.48 IoU|VI band: 0.67 F1-score, 0.51 IoU|PCA band: 0.38 F1-score, 0.24 IoU|RGBPC band: 0.62 F1-score, 0.45 IoU",,"RGB band combination consistently outperformed all other spectral combinations (CIR, VI, PCA, RGBPC) across all three models. PCA-based inputs yielded poorest performance across all models, with U-Net producing particularly poor results (F1-score as low as 0.03 for PCA). SegFormer maintained F1-scores exceeding 0.60 across most band combinations except PCA. Visual inspection revealed U-Net exhibited 'salt and pepper' effect across all channel combinations, while SegFormer demonstrated superior boundary definition and refined edge detection in complex scenes.",Health Assessment,24.0,70.0
33,33,33,Tree Crown Delineation/Segmentation,Yes,F1-score,"DETR (CIR): Coniferous 90% F1, Mixed 84% F1, Deciduous 81% F1; Mask R-CNN (CIR): Coniferous 92% F1, Mixed 83% F1, Deciduous 85% F1","Four baseline methods: NCut (Normalized Cut), Silva et al. (2016), Li et al. (2012), WS (Watershed Segmentation)","NCut: Coniferous 79% F1, Mixed 57% F1, Deciduous 69% F1; Silva: Coniferous 54% F1, Mixed 51% F1, Deciduous 64% F1; Li: Coniferous 16% F1, Mixed 14% F1, Deciduous 20% F1; WS: Coniferous 34% F1, Mixed 17% F1, Deciduous 30% F1","DETR vs NCut: +11% F1 (coniferous), +27% F1 (mixed), +12% F1 (deciduous); Mask R-CNN vs NCut: +13% F1 (coniferous), +26% F1 (mixed), +16% F1 (deciduous)","Accuracy: Mask R-CNN (CIR) achieved 85% (coniferous), 77% (mixed), 79% (deciduous)|Precision: Mask R-CNN (CIR) achieved 93% (coniferous), 84% (mixed), 82% (deciduous)|Recall: Mask R-CNN (CIR) achieved 92% (coniferous), 81% (mixed), 89% (deciduous)|Mean IoU for segmentation quality: Mask R-CNN 77% (coniferous), 78% (mixed), 75% (deciduous); DETR 77% (coniferous), 76% (mixed), 77% (deciduous); NCut 69% (coniferous), 62% (mixed), 65% (deciduous)",,"Segmentation quality analysis showed instance segmentations (Mask R-CNN and DETR) delineated tree crowns 10-16% better than baseline NCut method in terms of mean IoU. Best results achieved using CIR (Color Infrared) channel combination. Interestingly, LiDAR-based channel combinations (LIDAR, P+LIDAR) performed similarly to optical combinations, with no significant advantage from height information despite visible stem information in some areas.",Tree Crown Segmentation,11.0,90.0
34,34,34,Biomass Estimation,Yes,mIoU|MSE|RMSE|R²,0.94 mIoU (segmentation with LiDAR-SAM); 0.041 kg/m² MSE (biomass estimation); 0.05 kg/m² MSE (temporal prediction with St-Informer),PointNet++,0.85 mIoU (segmentation); 0.73 kg/m² MSE (biomass prediction with linear regression),+9.0% mIoU over PointNet++ for segmentation; 8.2% lower error than 2D remote sensing methods for biomass estimation; 0.06 kg/m² lower MSE than linear regression for temporal prediction,OA: 98% (LiDAR-SAM)|Recall: 97%|Kappa: 0.92|Species recognition accuracy (Φ): 92.72%|RMSE: 0.21 kg/m² (biomass)|R²: 0.74 (biomass)|RMSE: 0.22 kg/m² (temporal prediction)|R²: 0.73 (temporal prediction),,"2D vs 3D comparison shows 3D-CiLBE has 8.2% lower error on average than 2D remote sensing methods. Domain shift ratio (DR) averages 1.8, indicating 3D method is significantly closer to true biomass values. MLiDAR-CLIP achieves 11.5% higher accuracy than SVM baseline and 4.8% higher than PointCLIP for species recognition. Case study in Chicago demonstrates consistent accuracy across multiple years (2012-2018) with MSE of 0.041 kg/m², RMSE of 0.21 kg/m², and R² of 0.74.",Biomass Estimation,9.0,94.0
35,35,35,Tree Crown Delineation/Segmentation,Yes,mAP|mIoU|wmAP,"BalSAM - Quebec Plantations: 64.84% wmAP, 83.24% mIoU; SBL: 29.12% wmAP, 66.02% mIoU; BCI: 10.42% wmAP, 61.60% mIoU",Mask R-CNN,"Quebec Plantations: 55.75% wmAP, 79.63% mIoU; SBL: 27.27% wmAP, 65.08% mIoU; BCI: 10.33% wmAP, 61.74% mIoU","Quebec Plantations: +9.09% wmAP, +3.61% mIoU; SBL: +1.85% wmAP, +0.94% mIoU; BCI: +0.09% wmAP, -0.14% mIoU","RSPrompter performs best on Quebec Plantations (62.37% wmAP) and SBL (29.44% wmAP)|RSPrompter achieves 66.37% single-class mAP on Quebec Plantations|BalSAM shows best mIoU performance: 83.24% on Quebec Plantations|SAM out-of-the-box performs very poorly: 8.05-11.17% mAP, indicating zero-shot SAM is inadequate for this task",,"Class-wise analysis shows RSPrompter and BalSAM significantly outperform Mask R-CNN methods on less prevalent classes (Tables 9, 10, 11), indicating better handling of class imbalance due to SAM's pre-training. Performance generally increases with number of examples per class. Acer saccharum achieves high performance despite few examples due to distinct visual features. Picea mariana shows largest performance variation across models, often confused with similar species Picea glauca.",Tree Crown Segmentation,9.09,64.84
36,36,36,Forest Disturbance Detection,Yes,F-1 score|Kappa index|Overall Accuracy (OA)|Average Accuracy (AA),"WetMapFormer: 96.31% AA, 96.03% OA, 0.951 Kappa (combined dataset); Grand Bay-Westfield: 96.87% AA, 96.7% OA, 0.9605 Kappa; York county: 97.63% AA, 97.68% OA, 0.9714 Kappa; Albert county: 98.23% AA, 97.68% OA, 0.9714 Kappa","Multiple baselines: HybridSN, ResNet, Multimodel network, ViT, Swin Transformer, CoAtNet","Combined dataset - ViT: 96.15% AA, Swin Transformer: 95.45% AA, CoAtNet: 95.26% AA, HybridSN: 93.36% AA, ResNet: 90.17% AA, Multimodel: 82.76% AA","+0.16% AA over ViT, +0.86% AA over Swin Transformer, +1.05% AA over CoAtNet, +2.95% AA over HybridSN on combined dataset","Per-class F-1 scores (combined): Aquatic bed: 0.94, Bog: 0.97, Fen: 0.97, Forested wetland: 0.97, Freshwater marsh: 0.94, Shrub wetland: 0.96, Water: 1.0|Grand Bay-Westfield F-1: AB 0.92, Bog 0.98, Fen 0.98, FW 0.97, FWM 0.96, ShW 0.96, Water 1.0|York county F-1: AB 0.98, Bog 0.98, Fen 0.99, FW 0.98, FWM 0.96, ShW 0.98, Water 1.0|Albert county F-1: AB 1.0, Bog 0.97, Fen 0.97, FW 0.98, FWM 0.98, ShW 0.98, Water 1.0",,"WetMapFormer demonstrates excellent data efficiency: achieves 81.22% AA with only 10% training data, significantly outperforming CoAtNet (69.37%), Swin Transformer (73.64%), HybridSN (66.97%), ViT (66.53%), ResNet (56.51%), and Multimodel (54.15%). Performance increases by 16.11% AA, 17.97% OA, and 22.28% Kappa when training ratio increases from 10% to 90%. t-SNE visualization shows excellent feature separability for distinguishing complex wetland classes. Wetland maps from vision transformers (CoAtNet, Swin, ViT, WetMapFormer) are more homogeneous compared to CNN algorithms (ResNet, HybridSN).",Disturbance Detection,16.0,96.31
37,37,37,Canopy Height Estimation,Yes,MAE,VibrantVS: 2.71m MAE,"Meta (DINOv2), LANDFIRE, ETH","Meta: 4.83m MAE, LANDFIRE: 5.96m MAE, ETH: 7.05m MAE","VibrantVS achieves 43.9% lower MAE than Meta (best baseline), 54.5% lower than LANDFIRE, 61.6% lower than ETH","Mean Error: VibrantVS -1.11m (underestimation), Meta -4.03m, LANDFIRE +0.92m (overestimation), ETH +5.65m|Block-R²: VibrantVS 0.69, Meta -0.60, LANDFIRE -1.45, ETH -1.85|Edge Error: VibrantVS 0.08, Meta 0.30, LANDFIRE 0.63, ETH 0.64","Tested at 0.5m (native), 10m, and 30m resolutions using nearest-neighbor and averaging resampling. At 0.5m: VibrantVS MAE=2.71m; At 10m: VibrantVS MAE=1.55m vs Meta=3.26m; At 30m: VibrantVS MAE=1.11m vs Meta=2.61m. Performance trend maintained across all resolutions with VibrantVS consistently outperforming baselines.","VibrantVS demonstrates lowest error in desert and low-elevation ecoregions (vegetation <10m height). Error increases with tree height, particularly beyond 25m 95th percentile. Edge Error metric shows VibrantVS (0.08) and Meta (0.30) provide finer resolution detail compared to LANDFIRE (0.64) and ETH (0.63), indicating higher fidelity for fine-scale applications like individual tree segmentation.",Height Estimation,43.9,2.71
38,38,38,Tree Crown Delineation/Segmentation,No,mIoU|mF-score,"Test set (DaViT): mIoU 84.06%, mF-score 90.7%",,,,"Validation (DaViT): mIoU 82.3%, mF-score 89.5%",,"Backbone comparison on test set—Swin: mIoU 83.43%, mF-score 90.27%; GLIP: mIoU 83.67%, mF-score 90.42%; EVA02: mIoU 81.7%, mF-score 89.0%. Parameter counts—DaViT 28.36M; Swin 28.29M; GLIP 27.521M; EVA02 5.759M.",Tree Crown Segmentation,,84.06
39,39,39,Tree Crown Delineation/Segmentation,Yes,mIoU|Acc,"PerceptiveNet - TreeCrown: 48.1% mIoU, 84.4% Acc; Landcover.AI: 81.6% mIoU, 92.5% Acc; UAVid: 68.6% mIoU, 87.1% Acc",ResUNet,"TreeCrown: 37.6% mIoU, 79.3% Acc; Landcover.AI: 72.6% mIoU, 91.3% Acc; UAVid: 59.7% mIoU, 82.6% Acc","TreeCrown: +10.5% mIoU, +5.1% Acc; Landcover.AI: +9.0% mIoU, +1.2% Acc; UAVid: +8.9% mIoU, +4.5% Acc",PerceptiveNet vs U-Net: TreeCrown +4.9% mIoU; PerceptiveNet vs MACUNet: TreeCrown +2.2% mIoU; PerceptiveNet vs DeepLabV3+: TreeCrown +2.4% mIoU,"Model tested on three datasets with varying resolutions: TreeCrown (768×768 UAV images), Landcover.AI (25cm and 50cm per pixel resolution), UAVid (high-resolution urban scenes). Log-Gabor parameterization specifically designed to handle scale variations through logarithmic frequency scaling.","PerceptiveNet outperformed all CNN models tested: vs U-Net (+4.9% mIoU TreeCrown), vs MACUNet (+2.2% mIoU TreeCrown), vs DeepLabV3+ (+2.4% mIoU TreeCrown). PerceptiveNeTr outperformed pure Transformer models: vs UNETR_2D (+14.9% mIoU TreeCrown), vs SwinUNet (+5.5% mIoU TreeCrown), vs ViTResUNet (+4.2% mIoU TreeCrown). Qualitative analysis (Figure 6) shows PerceptiveNet excels at capturing finer spatial details, differentiating closely packed trees, managing complex crown shapes, and detecting dead trees through enhanced high-frequency feature capture.",Tree Crown Segmentation,10.5,48.1
40,40,40,Tree Crown Delineation/Segmentation,Yes,mAP50|F-measure,"Swin-Small-FPN: 92.1% mAP50, 94% F-measure; Swin-Tiny-FPN: 91.5% mAP50, 94% F-measure on testing dataset",U-Net (from authors' previous work),"91% F-measure, 85% mean IoU (Gibril et al. 2021)","Swin Transformers achieved +3% F-measure improvement over previous U-Net semantic segmentation approach, with instance-level detection capability","SOLOv2 with ResNet-50: 92.7% mAP50, 95% F-measure|Mask Scoring R-CNN with ResNet-50-FPN: 91.9% mAP50, 93% F-measure|Mask R-CNN with ResNet-101-C4: 90.43% mAP50, 92% F-measure|Mask R-CNN with ResNet-50-C4: 90.33% mAP50, 91% F-measure|PointRend with ResNet-50-FPN: 90.6% mAP50, 92% F-measure|YOLACT with ResNet-101-FPN: 89.7% mAP50, 91% F-measure|Inference time: Swin-Tiny-FPN ~0.11 fps, Swin-Small-FPN ~0.137 fps","Comprehensive multi-resolution testing conducted on datasets with GSDs of 5cm, 10cm, 15cm, 20cm, 25cm, and 30cm. Swin-Small-FPN demonstrated best generalization: maintained 85% mAP50 at 10cm GSD (only 7% drop), 73% at 15cm GSD, and 70% at 20cm GSD. Most models showed 0.6-4.6% performance drop at 10cm GSD. Performance degraded significantly beyond 20cm GSD for most models except Mask Scoring R-CNN and Swin-based models.","Transferability evaluation on independent Al Ain dataset achieved 95.6-98.2% mAP50 across all models, demonstrating excellent generalization to unseen geographic locations. SOLOv2 and Mask R-CNN with Swin Transformers achieved highest overall performance. Mask Scoring R-CNN with ResNet-50-FPN showed best balance of accuracy and generalization across multi-scale testing.",Tree Crown Segmentation,3.0,92.1
41,41,41,Tree Crown Delineation/Segmentation,Yes,Precision|Recall,"NEON dataset: SAM2 (0.17 precision, 0.41 recall); Detectree2 dataset: SAM2 (0.16 precision, 0.65 recall)",DeepForest and Detectree2,"NEON dataset: DeepForest (0.61 precision, 0.76 recall), Detectree2 (0.25 precision, 0.50 recall); Detectree2 dataset: DeepForest (0.34 precision, 0.60 recall), Detectree2 (0.40 precision, 0.72 recall)","SAM2 achieves comparable recall to Detectree2 (0.65 vs 0.72 on Detectree2 dataset, 0.41 vs 0.50 on NEON) but lower precision due to over-segmentation in zero-shot mode without meaningful prompts",IoU threshold of 0.4 used for bounding box matching|Minimum confidence threshold of 0.1 for detections,,Qualitative analysis on Emerald Point dataset shows SAM2 significantly outperforms DeepForest and Detectree2 in terms of detection quality and ability to capture smaller trees. SAM2 provides more detailed and reliable segmentation across varied forest densities compared to existing CNN-based methods.,Tree Crown Segmentation,2.0,0.65
42,42,42,Tree Crown Delineation/Segmentation,Yes,IoU,"87.60% IoU (Forest 1), 87.14% IoU (Forest 2) using MSFFNet with MiT-B4 backbone",Mask2Former,"86.00% IoU (Forest 1), 85.54% IoU (Forest 2)","+1.60% IoU over Mask2Former on Forest 1, +1.60% on Forest 2; +3.32% IoU over Mask R-CNN on Forest 1, +3.21% on Forest 2","Precision: 88.17% (Forest 1), 87.57% (Forest 2)|Recall: 89.53% (Forest 1), 88.96% (Forest 2)|F1-score: 89.07% (Forest 1), 88.36% (Forest 2)|OA: 91.95% (Forest 1), 91.10% (Forest 2)",,"For 3D point cloud semantic segmentation, the proposed method achieved SAC of 0.92 (Forest 1) and 0.90 (Forest 2), with omission errors of 0.18 and 0.20, and commission errors of 0.15 and 0.17, respectively. This significantly outperformed K-means (SAC: 0.84-0.85) and PDE-Net (SAC: 0.86-0.88).",Tree Crown Segmentation,1.6,87.6
43,43,43,Other,No,Overall Accuracy (OA)|Macro-Average Precision (MA Pre)|Macro-Average Recall (MA Recl)|Macro-Average F1 (MA F1)|RMSE|MAE|R-squared,"REO-VLM: 85.10 RMSE, 50.56 MAE, 0.20 R² for AGB regression on RGB; 75.59 RMSE, 48.37 MAE, 0.36 R² on MS; 76.52 RMSE, 43.84 MAE, 0.35 R² on MS+SAR. Land cover: 19.94% OA, 21.73% MA F1 (MS+SAR). Human activity monitoring: 80.50% accuracy (MS+SAR).",LLaVA-1.5-7B,"LLaVA (fine-tuned): 116.60 RMSE, 67.90 MAE, -0.51 R² for AGB regression on RGB; 115.74 RMSE, 67.49 MAE, -0.45 R² on MS","Compared to fine-tuned LLaVA: +31.5 RMSE improvement, +17.34 MAE improvement, +0.71 R² improvement on RGB. +40.15 RMSE, +19.12 MAE, +0.81 R² on MS. REO-VLM achieves positive R² while LLaVA shows negative R², indicating REO-VLM successfully captures numerical patterns.","VQA-Human Activity: REO-VLM 80.50% vs ChatGPT-4o 33.79% vs LLaVA 25.34% (MS+SAR)|Ecological patch counting: 1.23 RMSE, 0.91 MAE, 32.47% OA (RGB)|Compared to Niconet (specialist model): Niconet achieves 69.0 RMSE on AGB prediction (better), but REO-VLM covers broader range of tasks",,"Outperforms general-purpose VLMs across multiple tasks: land cover classification (REO-VLM 19.94% OA vs Qwen2-VL 3.77%, ChatGPT-4o 3.97%), VQA-human activity monitoring (REO-VLM 80.50% vs LHRS-Bot 78.08%), ecological patch counting (REO-VLM 32.47% OA vs LLaVA 25.34%). Demonstrates multimodal data integration benefits: MS input significantly improves over RGB (79.54% vs 47.87% for human activity task), MS+SAR fusion achieves best results (80.50% accuracy, 19.94% OA for land cover).",Other,31.5,85.1
44,44,44,Tree Crown Delineation/Segmentation,Yes,mIoU,"Segformer-MiT-b2: 85.8% mIoU, 92.11% mF-score (multiscale); 86.3% mIoU, 92.44% mF-score (UAV only). UperNet-Swin-tiny: 85.7% mIoU, 92.0% mF-score (multiscale)","Multiple CNN baselines: DeepLabV3+, PSPNet, FCN-ResNet-50, DANet (all with ResNet-50 backbone)","DeepLabV3+: 84.8% mIoU, PSPNet: 84.5% mIoU, FCN-ResNet-50: 83.9% mIoU, DANet: 84.6% mIoU (on multiscale testing data)","Segformer outperformed best CNN (DeepLabV3+) by +1.0% mIoU on multiscale data. On UAV data, Segformer achieved +1.5% mIoU improvement over previous U-Net ResNet-50 baseline (85% to 86.3%)",mF-score: 91.62-92.44% (transformers)|mAcc: 91.3-92.5% (transformers)|Precision and Recall metrics reported in figures|Transferability to unseen dataset: 85.84-86.36% mIoU,"Extensive multi-resolution testing conducted. Models trained on 5cm GSD UAV data were tested on 10cm, 15cm, 20cm, 25cm, and 30cm GSD. Segformer-MiT-b4 maintained 85.5% mIoU at 10cm, 80.74% at 15cm, dropped to 74.5% at 20cm, 68.2% at 25cm, and 62.3% at 30cm. Performance degradation of 11-23.5% when resolution decreased from 5cm to 20cm. Models showed excellent generalization for GSD ranging from 5cm to 20cm.","Models demonstrated high transferability to unseen independent dataset from Al Ain City (different geographical region), achieving 82.72-86.36% mIoU. Generic models trained on multisource data maintained similar performance to UAV-only models on unseen data. Segformer showed best balance of performance, parameter efficiency, and computational cost. Study improved upon previous date palm mapping work (U-Net ResNet-50) by +1.4% F-measure and +1.3% mIoU.",Tree Crown Segmentation,3.0,86.0
45,45,45,Tree Crown Delineation/Segmentation,Yes,IoU|F1-Score|Precision|Recall,"21% IoU, 33% F1-Score (SAM on RGB)","Implicit CNN baseline comparison through architecture comparison (Mask R-CNN, TensorMask)","58.1% IoU, 69.3% F1-Score (Mask R-CNN on RGB)","SAM showed -37.1% IoU compared to CNN baselines. Best overall: Faster R-CNN with NDRE achieved 65.3% IoU, 83.5% F1-Score (+7.1% IoU over RGB-only Faster R-CNN)","Faster R-CNN RGB: Precision 74.2%, Recall 70.9%|Mask R-CNN RGB: Precision 71.4%, Recall 73.7%|TensorMask RGB: Precision 50.5%, Recall 52%|SAM RGB: Precision 25%, Recall 81.5%|Faster R-CNN + NDRE: Precision 77.6%, Recall 73.4%|Faster R-CNN + GLI: 80.6% F1, 61.3% IoU|Faster R-CNN + RVI: 80.5% F1, 61.1% IoU|Faster R-CNN + Image Enhancement: 74% F1, 63.3% IoU",,"Faster R-CNN trained on RGB + Image Enhancement achieved 63.3% IoU and 74% F1-Score. Multiple vegetation indices tested: REMSR (78.5% F1), RECI (68.8% F1), CI (64% F1), GLI (80.6% F1), NDRE (83.5% F1 - best), GNDVI (71% F1), MSR (68.9% F1), EVI (60.8% F1 - worst), DVI (78.7% F1), NDVI (62% F1), RVI (80.5% F1). Qualitative results show smoother predicted masks compared to highly detailed ground truth labels with refined branch-level edges.",Tree Crown Segmentation,37.1,21.0
46,46,46,Tree Species Classification,Yes,F1-score,"1.00 (Average F1-score, ViT, Summer)",ResNet18,"0.92 (Average F1-score, Summer)",+0.08 Average F1-score,"ViT Summer (Prec: 1.00, Rec: 1.00)|ResNet18 Summer (Prec: 0.93, Rec: 0.92)|ViT Fall (F1: 0.97)|ResNet18 Fall (F1: 0.84)",,"All models achieved better performance on the summer dataset than the fall dataset (average F1-score of 0.96 vs. 0.91). On fall images, ViT, EfficientNetB0, and YOLOv5 (F1 > 0.9) significantly outperformed ResNet18 and DenseNet.",Species Classification,8.0,100.0
47,47,47,Tree Crown Delineation/Segmentation,Yes,mAP|mIoU|wmAP,"DSMPrompter: 65.03% mAP (single-class), 83.24% mIoU, 64.84% wmAP (multi-class); RSPrompter: 66.37% mAP, 82.58% mIoU, 62.37% wmAP",Mask R-CNN (ImageNet pretrained),"63.65% mAP (single-class), 81.82% mIoU, 58.30% wmAP (multi-class)","DSMPrompter: +1.38% mAP, +1.42% mIoU, +6.54% wmAP over best Mask R-CNN baseline; RSPrompter: +2.72% mAP, +0.76% mIoU, +4.07% wmAP","SAM automatic (100 pps): 8.05% mAP, 35.06% mIoU|SAM automatic (10 pps): 10.11% mAP, 34.01% mIoU|SAM+DSM prompts: 9.28% mAP, 46.15% mIoU|Faster R-CNN+SAM+DSM: 58.0% mAP, 78.27% mIoU, 52.08% wmAP|Mask R-CNN+SAM+DSM: 57.83% mAP, 77.65% mIoU, 51.33% wmAP",,"Per-class performance shows general pattern of increasing accuracy with more training examples. Acer saccharum (acsa) performs well despite few examples due to its distinct visual appearance. Pinus mariana (pima) shows most performance variation across models, as it is visually similar to most common class Pinus strobus (pist). Best performing model DSMPrompter achieves: 76.47% mAP on Picea glauca (pigl), 75.07% on Pinus strobus (pist), 67.93% on Thuya occidentalis (thoc), 64.23% on Acer saccharum (acsa).",Tree Crown Segmentation,1.38,65.03
