paper_id,title,authors,year,venue,publication_type,citation_key,source_file,limitations,citation_count
33,Towards complete tree crown delineation by instance segmentation with Mask R–CNN and DETR using UAV-based multispectral imagery and lidar data,S. Dersch|A. Schöttl|P. Krzystek|M. Heurich,2023,ISPRS Open Journal of Photogrammetry and Remote Sensing,Journal,dersch_towards_2023,dersch_towards_2023.json,"Both instance segmentation methods only detect trees visible in the upper canopy, missing regeneration and smaller trees in lower forest layers. Potential solutions require 3D instance segmentation methods with sufficient LiDAR point density in lower layers. Training process requires considerably large forest area (~1000-1500 trees of different species, composition and sizes) to adequately train the network, which may exceed benefit for small drone-captured areas without special permission. LiDAR-derived stem information (P_DENSE) insufficient for deciduous trees where dense canopy prevents laser penetration. Under-segmentation and over-segmentation still occur, particularly for closely spaced trees and trees with complex crown shapes. Small trees (<15m²) difficult to detect. Study does not address transferability of neural networks to other forest structures. Authors note need for more general network models applicable to various forest areas with different structures.",56
34,Estimating Urban Forests Biomass with LiDAR by Using Deep Learning Foundation Models,Hanzhang Liu|Chao Mou|Jiateng Yuan|Zhibo Chen|Liheng Zhong|Xiaohui Cui,2024,Remote Sensing,Journal,liu_estimating_2024,liu_estimating_2024.json,"Authors acknowledge: (1) Model performance may be limited in cities with complex meteorological conditions where LiDAR image quality is low; (2) In urban areas prone to natural disasters, changes in spatial layout may deviate from socio-economic development patterns, challenging consistent estimation; (3) High-quality LiDAR data required - may struggle with missing or incomplete data; (4) Higher computational cost at inference time due to large foundation model parameters, though training cost is dramatically reduced; (5) SAM occasionally struggles with missing trees, inaccurate height parameters, and indistinct canopy boundaries in very dense vegetation; (6) Model may require reducing frozen layers (higher training cost) for areas with complex meteorological conditions; (7) Need more temporal data collection in areas with irregular spatial layout changes to improve adaptation.",10
35,Bringing SAM to new heights: Leveraging elevation data for tree crown segmentation from drone imagery,Mélisande Teng|Arthur Ouaknine|Etienne Laliberté|Yoshua Bengio|David Rolnick|Hugo Larochelle,2025,arXiv preprint,Preprint,teng_bringing_2025,teng_bringing_2025.json,"Authors acknowledge: (1) SAM out-of-the-box fails to separate overlapping crowns, generates false positives on background/tiny plants, misses trees in areas with tall herbaceous vegetation; (2) Prompting SAM with trained detector outputs degrades rather than improves performance; (3) RSPrompter and BalSAM demonstrate higher variance than baseline methods; (4) Classification challenges with long-tailed training data not fully addressed (beyond weighted/hierarchical loss experiments); (5) DSM benefit highly dependent on canopy structural complexity - greatest for plantations with well-separated trees, minimal for dense temperate forests where individual trees barely stand out in DSM; (6) BCI dataset has missing annotations from undetected crowns requiring manual masking; (7) DSM for BCI only available at coarse 1m-height resolution; (8) Potential dual-use risks (models trained to identify species targeted in illegal logging); (9) Methods require high-resolution drone imagery (<5cm resolution) for effective performance; (10) Computational requirements substantial (48-80GB GPU memory, 1-5 days training)",2
36,WetMapFormer: A unified deep CNN and vision transformer for complex wetland mapping,Ali Jamali|Swalpa Kumar Roy|Pedram Ghamisi,2023,International Journal of Applied Earth Observation and Geoinformation,Journal,jamali_wetmapformer_2023,jamali_wetmapformer_2023.json,"Authors acknowledge: (1) Higher computation costs due to LWA concepts compared to pure CNN models, though substantially lower than vanilla ViTs; (2) By decreasing number of LWA blocks, computational cost can be reduced but may impact performance; (3) Slightly lower performance for some site-specific classes compared to ViT/Swin with larger receptive fields (e.g., bog classification in York county: ViT 0.99 vs WetMapFormer 0.98 F-1); (4) Increasing receptive field size would capture larger context but significantly increase computational cost for large-scale mapping; (5) Vision transformer-based algorithms generally incur significantly higher computational costs than CNN-based classifiers in terms of hardware and running time; (6) Wetlands inherently complex with lack of defined boundaries, fuzzy transitions to other land cover classes; (7) High degree of similarity between some wetland species (bog and fen have similar spectral reflectance); (8) Same wetland species can have different spectral characteristics across different spatial and temporal conditions due to extreme dynamics; (9) Water found underneath surface, within canopy, or in soil makes distinguishing backscattering/spectral signatures challenging; (10) Gathering training samples for remote sensing applications typically costly; (11) Future work needed to decrease computational cost in terms of running time and hardware requirements.",52
37,VibrantVS: A High-Resolution Vision Transformer for Forest Canopy Height Estimation,Tony Chang|Kiarie Ndegwa|Andreas Gros|Vincent A. Landau|Luke J. Zachmann|Bogdan State|Mitchell A. Gritts|Colton W. Miller|Nathan E. Rutenbeck|Scott Conway|Guy Bayes,2025,Remote Sensing,Journal,chang_vibrantvs_2025,chang_vibrantvs_2025.json,"Authors acknowledge multiple limitations: (1) Underestimation of very tall trees (>50m) due to training data imbalance - such trees represent <0.5% of training data and occur only in few ecoregions; (2) All models perform worse in high-altitude areas and steep slopes, potentially from training data imbalance as sampling map (Figure 1) shows concentration in lower elevations; (3) Training/test data cover only a small fraction of western US area and environmental/ecological diversity, limiting generalization claims; (4) Overestimation in lowest height bin (2-5m) because tree crown spatial footprint appears larger in NAIP than lidar, requiring block-level rather than pixel-level metrics to address; (5) All four models including VibrantVS truncate tree heights above 50m (Figure 6, Figure 8); (6) Temporal mismatch between NAIP imagery and lidar acquisition dates for baseline models (though VibrantVS maintains <1 year alignment); (7) Future improvements needed: integrate topography data for steep slopes/high altitude, expand to central/eastern US and lower vegetation heights (<2m), increase sampling of tall tree species for better representation.",4
38,Efficient Large-scale Mapping of Acacia Tortilis Trees Using UAV-based Images and Transformer-based Semantic Segmentation Architectures,Mohamed Barakat A. Gibril|Abdallah Shanableh|Rami Al-Ruzouq|Nezar Hammouri|Fouad Lamghari|Safa M. Ahmed|Ahmed Mansour|Ratiranjan Jena|Hani Shanableh|Mohammed Abdulraheem Almarzouqi|Nedal Salem Alafayfeh|Simon Zerisenay Ghebremeskel,2025,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences (ISPRS Geospatial Week 2025, Dubai, UAE)",Conference,gibril_efficient_2025,gibril_efficient_2025.json,Longer training time for the proposed DaViT backbone; occasional misclassification with Prosopis juliflora; reduced detectability in mountainous backgrounds where crowns blend into substrate; dataset expansion relied partly on manual image interpretation/Google Street View which may introduce minor label noise; future work suggested on expanding geographic coverage for better generalizability and exploring semi-supervised approaches.,1
39,Bridging Classical and Modern Computer Vision: PerceptiveNet for Tree Crown Semantic Segmentation,Georgios Voulgaris,2025,CVPR Workshop,Conference,voulgaris_bridging_2025,voulgaris_bridging_2025.json,"Authors acknowledge that PerceptiveNeTr (hybrid CNN-Transformer model) shows lower performance metrics compared to pure CNN PerceptiveNet, indicating need for further development through integration of advanced transformer models such as Hierarchical Vision Transformer or pre-trained models. Paper focuses on architectural innovations rather than computational efficiency, with no reported metrics on parameter count or inference time which limits assessment of practical deployment feasibility. Dense forests present unique challenges including variable lighting conditions and shadows, complex backgrounds with overlapping canopies, scale variations from different UAV heights, and subtle spectral differences between species.",0
40,Deep convolutional neural networks and Swin transformer-based frameworks for individual date palm tree detection and mapping from large-scale UAV images,Mohamed Barakat A. Gibril|Helmi Zulhaidi Mohd Shafri|Abdallah Shanableh|Rami Al-Ruzouq|Aimrun Wayayok|Shaiful Jahari bin Hashim|Mourtadha Sarhan Sachit,2022,Geocarto International,Journal,gibril_deep_2022,gibril_deep_2022.json,"Authors acknowledge several limitations: (1) Manual delineation of date palm leaves is challenging - some leaf ends were unintentionally ignored during ground truth preparation, causing models to miss portions of leaves in predictions; (2) Circular crown delineation approach may not capture full extent of pinnate leaves; (3) Higher computational cost and training time for Swin Transformers (35.7h for Swin-Small vs 13.6h for ResNet-50-FPN); (4) Slower inference speed for Swin models (~0.11-0.137 fps) limits real-time applications; (5) Cross-environment testing limited to same biome/region (UAE agroforestry) - no evaluation across different biomes (tropical, temperate forests); (6) Performance degrades significantly at coarse resolutions (>20cm GSD); (7) Fixed CNN receptive fields limit long-range dependency modeling; (8) Requires large labeled dataset (89,069 images) for training; (9) Manual annotation effort is substantial for large-scale applications.",22
41,Zero-Shot Tree Detection and Segmentation from Aerial Forest Imagery,Michelle Chen|David Russell|Amritha Pallavoor|Derek Young|Jane Wu,2025,ICLR 2025 Machine Learning for Remote Sensing (ML4RS) Workshop,Workshop,chen_zero-shot_2025,chen_zero-shot_2025.json,"Authors acknowledge that SAM2 tends to over-segment in the absence of meaningful prompts because it does not distinguish between object classes, resulting in low precision scores. The model requires either careful prompting or post-processing to achieve tree-specific segmentation. While recall is comparable to specialized models, precision remains a challenge in pure zero-shot mode. More extensive quantitative evaluations are needed beyond the benchmark datasets tested. The paper notes that while SAM2 shows promise, it is not technically an object detection model, so direct comparison with detection models has limitations.",3
42,Semantic-Aware Cross-Modal Transfer for UAV-LiDAR Individual Tree Segmentation,Fuyang Zhou|Haiqing He|Ting Chen|Tao Zhang|Minglu Yang|Ye Yuan|Jiahao Liu,2025,Remote Sens.,Journal,zhou_semantic-aware_2025,zhou_semantic-aware_2025.json,"Authors acknowledge several limitations: (1) MSFFNet struggles to extract some smaller tree crowns, particularly in dense canopy scenarios with crown overlap, texture similarity among tree species, and varying forest types; (2) The method does not handle understory tree segmentation—a persistent challenge for 2D image-based forest surveys; (3) Segmentation accuracy depends on registration precision between MPC and LiDAR point clouds; while end-to-end deep learning could avoid this dependency, it would incur much higher computational costs and require large annotated forest point cloud datasets, which are currently scarce; (4) Unifying coordinate systems in scenarios with diverse sensor types and point cloud generation methods remains an open research topic; (5) The method has not been tested in deciduous or tropical broadleaf forests with seasonal foliage variation; (6) Runtime of approximately 190 minutes for 3.2 million points indicates computational cost, though this scales linearly with area and code is not optimized for minimal runtime.",0
43,REO-VLM: Transforming VLM to Meet Regression Challenges in Earth Observation,Xizhe Xue|Guoting Wei|Hao Chen|Haokui Zhang|Feng Lin|Chunhua Shen|Xiao Xiang Zhu,2024,arXiv preprint,Preprint,xue_reo-vlm_2024,xue_reo-vlm_2024.json,"Authors acknowledge multiple limitations: (1) Relatively small image patch sizes (250m×250m) limit spatial detail capture and ability to represent complex environmental patterns; (2) Performance gap vs specialist models (REO-VLM 75.59 RMSE vs Niconet 69.0 RMSE for AGB regression); (3) Fundamental challenge in treating numeric regression as token-based text generation - cross-entropy optimization struggles with accurate numeric prediction (evidenced by negative R² for ecological patch counting); (4) RGB-based bridging strategy for heterogeneous modalities (MS, SAR) cannot fully exploit unique characteristics of each sensor despite retaining essential information; (5) Long-tail distribution of AGB values makes large value prediction challenging; (6) Dropout operation incompatible with regression tasks due to variance shift between training and test; (7) Excessive visual information (all layers) disrupts optimization; (8) Model requires large-scale labeled dataset (1.6M pairs) for training.",8
44,Large-Scale Date Palm Tree Segmentation from Multiscale UAV-Based and Aerial Images Using Deep Vision Transformers,Mohamed Barakat A. Gibril|Helmi Zulhaidi Mohd Shafri|Rami Al-Ruzouq|Abdallah Shanableh|Faten Nahas|Saeed Al Mansoori,2023,Drones,Journal,gibril_large-scale_2023,gibril_large-scale_2023.json,"Authors acknowledge: (1) Manual ground-truth preparation via visual assessment may create boundaries slightly larger or smaller than actual tree crowns, potentially decreasing accuracy metrics; (2) Limited spectral information of RGB images poses challenges; (3) High intraclass variance of date palm trees (cultivar, age, crown size, height) complicates segmentation; (4) Variations in spatial resolutions across multisource data; (5) Complexity of image backgrounds and contexts; (6) UperNet-Swin model has high computational cost despite excellent performance; (7) Performance degrades significantly (11-23.5%) when spatial resolution decreases from 5cm to 20cm GSD; (8) Substantial performance drop beyond 20cm GSD (to 62-68% at 25-30cm).",49
45,TreeSeg—A Toolbox for Fully Automated Tree Crown Segmentation Based on High-Resolution Multispectral UAV Data,Sönke Speckenwirth|Melanie Brandmeier|Sebastian Paczkowski,2024,Remote Sensing,Journal,speckenwirth_treeseg_2024,speckenwirth_treeseg_2024.json,"Authors acknowledge several key limitations: (1) Predicted masks lack the level of detail present in ground truth labels with refined branch-level edges, 'which might be due to the small amount of training data' (800 trees). (2) IoU of 65% means 35% of assigned pixels contain false information that could 'distort further data analysis, e.g., crown vitality assessment.' Authors emphasize widely accepted 50% IoU threshold is 'insufficient for further purpose-driven analysis.' (3) SAM shows 'such poor results' (21% IoU) that it is not recommended for use despite being included for transparency. (4) Image enhancement causes boundary blurring between trees and background, reducing shape precision despite improving IoU. (5) Model trained on single forest type (temperate mixed forest in Germany), so 'comparability to other results is limited since these studies focus on different types of forests.' (6) Small dataset size limits model's ability to learn fine details: 'most studies use coarser labels for tree crown segmentation, achieving better results in terms of accuracy metrics, but not in terms of the required level of detail.' (7) SAM inference time 'may take more than a day depending on hardware resources' making it impractical. (8) Authors note need for 'larger and more diverse dataset' to enable generalization across different forest types and ecosystems.",10
46,Tree Species Classification from UAV Canopy Images with Deep Learning Models,Yunmei Huang|Botong Ou|Kexin Meng|Baijian Yang|Joshua Carpenter|Jinha Jung|Songlin Fei,2024,Remote Sensing,Journal,huang_tree_2024,huang_tree_2024.json,"The study's limitations include an imbalanced number of images among species, a focus on plantation forests which may limit generalizability to natural forests, and variations in Ground Sampling Distance (GSD) that could introduce uncertainty. The authors also highlight the lack of an open-source benchmark dataset for this task as a broader challenge.",15
47,Assessing SAM for Tree Crown Instance Segmentation from Drone Imagery,Mélisande Teng|Arthur Ouaknine|Etienne Laliberté|Yoshua Bengio|David Rolnick|Hugo Larochelle,2025,ICLR 2025 Machine Learning for Remote Sensing (ML4RS) Workshop,Conference,teng_assessing_2025,teng_assessing_2025.json,"Authors acknowledge: (1) SAM out-of-the-box is inadequate despite being presented as user-friendly tool - requires task-specific tuning; (2) High-resolution imagery and photogrammetry artifacts cause SAM to focus on irrelevant details when used with CNN prompts; (3) Study limited to single region (Quebec) - generalization to other biomes/regions not tested; (4) Performance varies significantly by species abundance, with rare species showing lower accuracy; (5) DSMPrompter's advantage over RSPrompter is modest, suggesting limits to DSM integration benefits; (6) Computational requirements of SAM (ViT-H) not fully characterized for operational deployment. Future work identified: studying different DSM integration methods, assessing effect of resolution degradation, determining if DSMPrompter advantages increase in low-data regimes.",4
48,Tree Species Classification in UAV Remote Sensing Images Based on Super-Resolution Reconstruction and Deep Learning,Yingkang Huang|Xiaorong Wen|Yuanyun Gao|Yanli Zhang|Guozhong Lin,2023,Remote Sensing,Journal,huang_tree_2023,huang_tree_2023.json,"Authors acknowledge: (1) Limited spatial resolution of low-altitude aerial images introduces degradation (detail loss, brightness reduction, blurred edges, weak texture) affecting CNN feature extraction; (2) Real-ESRGAN super-resolution technique has limitations and could be improved with more fuzzy kernels and enhanced algorithms; (3) Small inter-class differences and significant intra-class differences among tree species due to forest canopy closure, lighting, background, and shooting height variations; (4) Hardware limitations of drone imaging equipment cause blurred tree crown boundaries and weak texture factors; (5) Canopy images differ from natural images—mutual relationships between tree canopies affect classification in medium-to-high density forests; (6) Intra-canopy heterogeneity at individual tree level but repeated similarity at overall level; (7) Study limited to single location (Dongtai Forest Farm) with no cross-site validation; (8) Dataset relatively modest in scale (4,338 samples) compared to general computer vision benchmarks.",32
49,A DISTRIBUTION SHIFT BENCHMARK FOR SMALLHOLDER AGROFORESTRY: DO FOUNDATION MODELS IMPROVE GEOGRAPHIC GENERALIZATION?,Siddharth Sachdeva|Isabel Lopez|Chandrashekhar Biradar|David Lobell,2024,ICLR 2024 Machine Learning for Remote Sensing (ML4RS) Workshop,Workshop,sachdeva_distribution_2024,sachdeva_distribution_2024.json,"High overall accuracy from traditional cross-validation can hide poor generalization and wide variations in accuracy across different regions. A significant generalization gap persists even with advanced foundation models, suggesting that a data-centric approach focusing on geographically stratified ground-truth data collection is a more practical solution until foundation models are trained on more diverse remote sensing data.",1
50,TiMo: Spatiotemporal Foundation Model for Satellite Image Time Series,Xiaolei Qin|Di Wang|Jing Zhang|Fengxiang Wang|Xin Su|Bo Du|Liangpei Zhang,2025,arXiv/Preprint,Preprint,qin_timo_2025,qin_timo_2025.json,"1) Geographic bias in MillionST: 'images mainly collected from Europe, North Africa, and West Asia, it cannot represent the larger set', limiting global generalization claims; 2) Computational cost: 'Computational cost remains barrier for real-time/on-device deployment' despite D-STGA efficiency improvements; 3) GPU memory requirements: M-M-M-M configuration causes Out-of-Memory on RTX 4090; Practical configurations require 14-15GB memory; 4) 'STGA computational cost increases rapidly with temporal length T' before D-STGA optimization (O(T²) → O(T)); 5) Temporal length constraint: 'Limited GPU memory only supports simultaneous processing of images with temporal length of 3' during experiments despite MillionST having 10 phases; 6) Pre-training resource intensity: Requires 100 epochs on large-scale dataset with multiple high-end GPUs; 7) Cross-sensor transfer challenging: 'Challenging transfer from optical to SAR images' noted for KuroSiwo; 8) Mask unit design: 1×32×32 mask unit may not be optimal for all SITS characteristics or temporal intervals.",4
51,Large-scale assessment of date palm plantations based on UAV remote sensing and multiscale vision transformer,Mohamed Barakat A. Gibril|Helmi Zulhaidi Mohd Shafri|Abdallah Shanableh|Rami Al-Ruzouq|Shaiful Jahari bin Hashim|Aimrun Wayayok|Mourtadha Sarhan Sachit,2024,Remote Sensing Applications: Society and Environment,Journal,gibril_large-scale_2024,gibril_large-scale_2024.json,"Model requires high-resolution data (<0.5m GSD) for accurate detection, with significant performance degradation beyond this threshold. Visual evaluation criteria for health assessment introduce subjectivity due to personal interpretations. Limited class variations in training dataset and vast diversity of palm trees present challenges for species differentiation. Specific intricate scenarios (delicate green canopy, dense crown mixed with grey areas) present classification challenges. To refine health assessment capabilities and extend functionality to identify RPW infestation stages, a thorough ground-truth dataset encompassing diverse infestation stages is essential, requiring multidisciplinary collaboration with date palm experts. The approach currently provides generic indicators of healthy/unhealthy trees but requires further development for detailed pest and disease diagnosis.",16
52,Application of the Vision Transformer and Mask R-CNN Joint Algorithm to Assist Forest Decisions,Qinrui Liang,2023,2023 5th International Conference on Geoscience and Remote Sensing Mapping (GRSM),Conference,liang_application_2023,liang_application_2023.json,"Authors identify multiple limitations: 1) ViT performs mediocrely on small-to-moderate datasets (67% accuracy) and requires extensive training time and data volume for high-resolution imagery; 2) Appropriate parameter settings (patch size, learning rate, etc.) are critical but require extensive tuning; 3) Mask R-CNN requires high-quality manual annotations which are time-consuming, and struggles with dense plant growth and small/young trees where instance segmentation fails; 4) Forest feature similarity makes classification challenging without fine-grained crown segmentation; 5) High computational requirements limit training duration; 6) Temporal and geographic errors can occur from delayed aerial photography; 7) High-resolution monitoring infrastructure (AOP with LiDAR and imaging spectrometers) involves substantial costs and deployment risks; 8) Image preprocessing (resizing, cutting) required for model compatibility reduces data accuracy.",1
53,e-TransUNet: TransUNet provides a strong spatial transformation for precise deforestation mapping,Ali Jamali|Swalpa Kumar Roy|Biswajeet Pradhan,2024,Remote Sensing Applications: Society and Environment,Journal,jamali_e-transunet_2024,jamali_e-transunet_2024.json,"Authors acknowledge that e-TransUNet entails slightly increased time complexity compared to base TransUNet due to utilization of attention gates and spatial transformation mechanisms. While Vision Transformers (ViTs) have demonstrated superior performance compared to CNNs, they face challenges including computational complexity (increasing processing costs) and requirement for more labeled input data compared to CNNs. The paper addresses some but not all of these challenges.",7
54,3D LiDAR Transformer for City-scale Vegetation Segmentation and Biomass Estimation,Asim Khan|Warda Asim|Muhammad Ibrahim|Anwaar Ulhaq,2022,2022 International Conference on Digital Image Computing: Techniques and Applications (DICTA),Conference,khan_3d_2022,khan_3d_2022.json,"Authors acknowledge that current methods for large-scale 3D LiDAR data analysis for ecological observations remain challenging. They note that conventional remotely sensing systems using passive optical sensors have limitations in providing accurate horizontal and vertical dimensional data, which motivated their LiDAR-based approach. The paper mentions that 'accurate semantic segmentation of 3D point clouds has been a long-time problem' due to the 'unstructured nature of point clouds' which makes it 'difficult to develop deep neural architectures.' They also note challenges including point cloud data overlap, varying sample density, and lack of clear structure.",1
55,M2fNet: Multi-modal Forest Monitoring Network on Large-scale Virtual Dataset,Yawen Lu|Yunhan Huang|Su Sun|Tansi Zhang|Xuewen Zhang|Songlin Fei|Victor Chen,2024,IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),Conference,lu_m2fnet_2024,lu_m2fnet_2024.json,"Authors acknowledge several limitations: (1) Virtual datasets may not accurately represent diversity of real forests in species composition and ecosystem variability, potentially leading to biased decision-making; (2) Method assumes RGB or RGB+depth modalities and may not extend to other modalities like text; (3) Model trained on forest scenes shows large performance gap when applied to specific outdoor environments like streets or indoor environments; (4) Virtual dataset approach may inadvertently neglect social aspects of forest management such as impacts on local communities and indigenous knowledge; (5) Specific environments with visual appearance substantially different from training focus do not perform well.",11
56,Fine-tuning of Geospatial Foundation Models for Aboveground Biomass Estimation,Michal Muszynski|Levente Klein|Ademir Ferreira da Silva|Anjani Prasad Atluri|Carlos Gomes|Daniela Szwarcman|Gurkanwar Singh|Kewen Gu|Maciel Zortea|Naomi Simumba|Paolo Fraccaro|Shraddha Singh|Steve Meliksetian|Campbell Watson|Daiki Kimura|Harini Srinivasan,2024,arXiv preprint,Preprint,muszynski_fine-tuning_2024,muszynski_fine-tuning_2024.json,"Authors acknowledge that U-Net slightly outperforms GFMs in overall RMSE. Future work needed to integrate new multimodal data sources (e.g., radar for persistent cloud cover) and test models under more realistic conditions. The preprocessing methodology requires excluding cloud-contaminated images. Space-based LiDAR measurements (GEDI, ICESat-2) are sparse in spatial distribution, requiring geostatistical methods to transform into spatially continuous AGB estimates. Label-limited problems are common in forest-based applications.",12
57,Classification of Individual Tree Species Using UAV LiDAR Based on Transformer,Peng Sun|Xuguang Yuan|Dan Li,2023,Forests,Journal,sun_classification_2023,sun_classification_2023.json,"Authors acknowledge several limitations: (1) Dense canopy overlap in Quercus mongolica forests limits LiDAR penetration, resulting in sparse trunk information and lower classification accuracy; (2) Study conducted in artificial forest with flat terrain and patterned distribution (easier than natural forests); (3) Excessive point density (>4096) introduces redundant information causing slower convergence and potential accuracy reduction; (4) Method requires relatively high-resolution LiDAR data (1772 points/m²); (5) Morphological similarity between broad-leaved species (Quercus mongolica and Birch) makes classification more challenging compared to distinguishing coniferous from broad-leaved trees; (6) Need for future work combining multi-source LiDAR technology for more complex natural forest situations.",15
58,Parameter-Efficient Fine-Tuning of Vision Foundation Model for Forest Floor Segmentation from UAV Imagery,Mohammad Wasil|Ahmad Drak|Brennan Penfold|Ludovico Scarton|Maximilian Johenneken|Alexander Asteroth|Sebastian Houben,2025,IEEE ICRA Workshop - Novel Approaches for Precision Agriculture and Forestry with Autonomous Robots,Workshop,wasil_parameter-efficient_2025,wasil_parameter-efficient_2025.json,"Labeling inconsistencies in the Garrulus dataset contribute to performance issues, particularly in the CWD class where many instances are incorrectly labeled or entirely missed. The subjective nature of object definitions (e.g., what constitutes CWD) leads to confusion—upside-down logs labeled as CWD share visual similarities with STUMP class, causing prediction errors. Recall performance consistently lower than precision due to these annotation issues. Zero-shot SAM struggles with vegetation segmentation where boundaries lack clear separation from background. The model shows lower per-class mIoU for MISC and STUMP classes. Future work needed includes: on-the-fly adaptation to different locations and environmental conditions, exploring real-time distillation of foundation models, investigating feasibility of online training directly on UAV platforms, and integrating obstacle-free area identification into seeding pipeline.",1
59,TreeFormer: a Semi-Supervised Transformer-based Framework for Tree Counting from a Single High Resolution Image,Hamed Amini Amirkolaee|Miaojing Shi|Mark Mulligan,2023,arXiv preprint,Preprint,amirkolaee_treeformer_2023,amirkolaee_treeformer_2023.json,"Authors acknowledge: (1) Counting trees in dense canopy where trees are interlocking in continuous form is very complex, (2) The model's generalizability on heterogeneous datasets (e.g., NEON dataset) across different domains requires domain generalization and adaptation techniques as future work, (3) Performance depends on background complexity - complex urban scenes with buildings, cars, and varied vegetation are more challenging than simple tree-grass contrast, (4) Lower spatial resolution degrades accuracy, (5) Trees with different types, sizes, shapes, and densities present varying difficulty levels, (6) Annotation burden remains substantial even with semi-supervised approach - creating manual point annotations for 95,067 trees is time-consuming",42
60,Individual Tree Detection Based on High-Resolution RGB Images for Urban Forestry Applications,Lishuo Zhang|Hong Lin|Feng Wang,2022,IEEE Access,Journal,zhang_individual_2022,zhang_individual_2022.json,"Method is not effective enough to handle intersection and agglomeration of trees - overlapping trees detected as single tree. Performance degrades in dense forests where many trees overlap with each other. Detection of high-density objects remains challenging, consistent with other methods in the field. Missed detections occur in areas of agglomeration. The method occasionally produces false detections (16 FP in street tree test), though significantly fewer than ResNet50 baseline (33 FP). Manual labeling is time consuming and labor intensive, motivating the semi-supervised approach. Initial model without fine-tuning showed poor performance on new datasets with low confidence scores.",32
61,Expanding Vision in Tree Counting: Novel Ground Truth Generation and Deep Learning Model,Minh Nhat Ton-That|Tin Viet Le|Nhien Hao Truong|An Dinh Le|Anh-Duy Pham|Hien Bich Vo,2024,2024 Tenth International Conference on Communications and Electronics (ICCE),Conference,ton-that_expanding_2024,ton-that_expanding_2024.json,"Authors acknowledge multiple limitations: (1) Computational constraints limited experiments to 1536×1536 images, though larger images may further improve performance; (2) Ground truth generation time scales poorly with image size (10 hours for 1536×1536 vs 2 hours for 512×512); (3) Future work needed to explore correlation between image size and model quality systematically; (4) Computational cost considerations remain for practical deployment; (5) Batch size of 1 introduces training noise, though transformers are more robust to this than CNNs; (6) No systematic exploration of optimal image size for ground truth generation performed.",0
62,MTCDNet: Multimodal Feature Fusion-Based Tree Crown Detection Network Using UAV-Acquired Optical Imagery and LiDAR Data,Heng Zhang|Can Yang|Xijian Fan,2025,Remote Sensing,Journal,zhang_mtcdnet_2025,zhang_mtcdnet_2025.json,Authors acknowledge: (1) Model fails to detect small-sized tree crowns in densely populated regions due to close spatial proximity and blurred texture/edge information; (2) Struggles with detecting large-sized tree crowns with significant scale variation or irregular contours; (3) Multi-scale ability needs improvement for handling densely packed small objects and singular large targets; (4) Higher computational overhead (especially with 8 attention heads: 45.31 GFLOPs) poses challenges for real-time deployment on resource-constrained UAV platforms; (5) More attention heads may increase overfitting risk when training dataset is limited; (6) Performance degradation under stricter AP75 metric in dense forests where crown overlap makes boundary delineation challenging,3
63,BARE: Boundary-Aware with Resolution Enhancement for Tree Crown Delineation,Attavit Wilaiwongsakul|Bin Liang|Wenfeng Jia|Bryan Zheng|Fang Chen,2025,AusDM'25,Conference,wilaiwongsakul_bare_2025,wilaiwongsakul_bare_2025.json,"Authors acknowledge multiple limitations: (1) Evaluation uses only OAM-TCD dataset; generalizability across other remote sensing domains requires validation; (2) Study examines only three architectural paradigms (SegFormer, PSPNet, SETR); effectiveness on newer transformers like Swin remains unexplored; (3) Only bilinear upsampling employed; learned upsampling may yield different results; (4) Memory constraints necessitated different gradient accumulation strategies across architectures; (5) Deeper analysis of mechanisms driving architecture-specific responses to combined training strategies would strengthen understanding.",0
